location_id,ownership_name,business_name,category,lic_code,street_address,State,City,zipcode,business_start_date,business_end_date,neighborhoods,business_location,supervisor_district,Lifespan,closed,age_if_opened
1173752-12-171,Yo-Kai Express Inc.,Yo-Kai Express Inc.,Food Services,,135 4th St Ste 4000,CA,San Francisco,94103.0,12/28/2017,,Financial District/South Beach,,6.0,,no,213.0
1173848-12-171,Global Express Inc.,Kafal,Food Services,,425 Elis St,CA,San Francisco,94102.0,12/28/2017,,Tenderloin,,6.0,,no,213.0
1173814-12-171,"Gan Xiang Yu, Llc",Sizzling Pot King,Food Services,"Restaurant 1,000 - 2,000 Sqft",139 8th St,CA,San Francisco,94103.0,12/28/2017,,South of Market,,6.0,,no,213.0
0308034-01-001,Grandeho's Inc,Sunflower Restaurant,Food Services,"Restaurant Less Than 1,000 Sqft",3111 16th St,CA,San Francisco,94103.0,07/01/1997,,Mission,"3111 16TH ST
San Francisco, CA 94103
(37.764896, -122.422269)",8.0,,no,7698.0
0343504-01-001,East-West Holdings Inc,Burma Super Star Restaurant,Food Services,"Restaurant 1,000 - 2,000 Sqft",309 Clement St,CA,San Francisco,94118.0,03/01/2001,,Inner Richmond,"309 CLEMENT ST
San Francisco, CA 94118
(37.783046, -122.462531)",1.0,,no,6359.0
1173890-12-171,Ijsy World Kitchen Inc,Ike's Kitchen,Food Services,"Restaurant Greater Than 2,000 Sqft",800 Van Ness Ave Bldg,CA,San Francisco,94109.0,12/21/2017,,Tenderloin,,6.0,,no,220.0
1173948-12-171,"Foundation Food Services, Inc",Foundation Cafe,Food Services,,645 5th St,CA,San Francisco,94107.0,12/15/2017,,,,,,no,226.0
1189847-05-181,A-P Bay Area Stores Llc,A-P Bay Area Stores Llc,Food Services,,977 Howard St,CA,San Francisco,94103.0,03/17/2016,,,,,,no,864.0
1189848-05-181,A-P Bay Area Stores Llc,A-P Bay Area Stores Llc,Food Services,,680 Folsom St Ste 120,CA,San Francisco,94107.0,03/17/2016,,Financial District/South Beach,,6.0,,no,864.0
0325687-08-002,Mission Bay Food Company Llc,Cafe 24,Food Services,,1200 16th St,CA,San Francisco,94107.0,03/19/1999,,Mission Bay,"1200 16TH ST
San Francisco, CA 94107
(37.766263, -122.399563)",10.0,,no,7072.0
1189880-05-181,Greg Dunmore,Greg Dunmore,Food Services,,250 Fell St,CA,San Francisco,94102.0,03/11/2018,,Hayes Valley,,5.0,,no,140.0
1174063-01-181,Golden State Cafe Inc,Corner Bakery Cafe #1584,Food Services,Places Of Public Assembly & Open-Air Assembly,665 Market St,CA,San Francisco,94105.0,05/01/2015,,,,,,no,1185.0
1188676-05-181,Boykin Michelle,Fuel Your Inner Beast,Food Services,,4906 Fray Ave,CA,Richmond,94804.0,07/01/2016,05/22/2018,,,,690.0,yes,
1189932-05-181,Dumpling Specialist Llc,Dumpling Specialist,Food Services,,1123 Taraval St,CA,San Francisco,94116.0,05/29/2018,,,,,,no,61.0
1174181-01-181,Matsune Kazuhiko,Breakthrough Sushi,Food Services,,100 Pine St Ste 1250,CA,San Francisco,94111.0,07/07/2010,,,,,,no,2944.0
1174199-01-181,Shuying Wu,Jie Ying,Food Services,,101 Waller St Apt 347,CA,San+francisco,94102.0,01/03/2018,07/24/2018,,,,202.0,yes,
